case_id,sex,age_band,name_origin,province,region,urbanicity,NAME_PATIENT,NAME_DOCTOR,NAME_DOCTOR_2,NAME_RELATIVE,RELATIVE_RELATION,AGE,GENDER,DATE_ENCOUNTER,DATE_VALIDATION,DATE_HISTORY,DOB,INSZ,RIZIV,IBAN,CREDITCARDNUMBER,STREET,ZIPCODE,CITY,TELEFOON,TELEFOON_MOBILE,EMAIL,URL,ORGANIZATION,SPECIALTY,DIAGNOSIS,DX_EPONYM,DX_TEST,DX_ANATOMY,DX_DRUG,DX_DRUG_2,DX_HOMOGRAPH,DX_NUMERIC,DX_ABBREV,DX_CODESWITCH,noise_ops,ambiguous_surname,PATIENT_NOUN_GENERIC,PATIENT_NOUN_MARKED,HONORIFIC,PRONOUN_SUBJ,PRONOUN_POSS,fmt
CASE000010,M,65-79,flemish,West-Vlaanderen,Vlaanderen,rural,Luc Vermeulen,dr. Fatima Benali,dr. Stijn Coppens,Lore Verhoeven,Zus,69-jarige,man,11-05-2026,2026-05-11,01/04/2019,°05/10/1956,56.10.05-357.60,5-28184-78-018,BE35 7358 1834 2333,4247710932480865,Langeplein 169,8700,Tielt,09/808.76.03,0492/96.63.80,luc.vermeulen@telenet.be,https://www.klinieksintvincentius.be,Kliniek Sint-Vincentius,Reumatologie,reumatoide artritis,syndroom van Sjogren,Humphrey - perimetrie,lig. Collaterale mediale,Glucagen hypokit,Ibuprofen 400 mg,peervormige galblaas,100 e/ml 3 ml,OD,no evidence of malignancy,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'yyyy-mm-dd', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000011,F,50-64,eastern_european,West-Vlaanderen,Vlaanderen,town,Magdalena Marinescu,dr. Luc Wouters,dr. Gul Aydin,Elena Ionescu,Moeder,57 jaar,vrouw,21-04-2026,23 april 2026,07-04-2020,°07-02-1969,69 02 07 496 78,4 61888 26 018,BE21 8398 8908 9976,4621745961586576,Smiddries 165,8800,Roeselare,054-62 70 28,0483/12.56.12,magdalena.marinescu@telenet.be,https://www.kliniekdevoorzorg.be,Kliniek De Voorzorg,NKO,chronische rhinosinusitis,manoeuvre van Valsalva,Humphrey - perimetrie,M. Supraspinatus,Ibuprofen 400 mg,Paracetamol 1 g,hamstringletsel links,18u,SSp,full range of motion,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'spaced', 'RIZIV': 'spaced', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'text_nl', 'DATE_HISTORY': 'dd-mm-yyyy', 'DOB': 'degree', 'TELEFOON': 'dashed', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'plain', 'AGE': 'jaar'}"
CASE000012,M,65-79,southern_european,Antwerpen,Vlaanderen,rural,Paulo Rossi,dr. Jonas Lambert,dr. Tom Verhoeven,Rosa Ferrari,Nicht,76,man,23/05/2026,25-05-2026,30/01/2016,º1 nov 1949,49110193544,7 11484 11 006,BE73 5078 0338 2689,4640909743953390,Wilgendries 131,2400,Mol,09 474 36 71,0491-45 73 37,paulo.rossi@proximus.be,https://www.uzmariamiddelares.be,UZ Maria Middelares,Fysische Geneeskunde en revalidatie,bekkenbodemhypertonie,ziekte van Hashimoto,Bristol-schaal type 4,M. Subscapularis,Ibuprofen 400 mg,Glucagen hypokit,beeld passend bij bursitis,BD: 146/68,tvv,Painful arc beiderzijds +,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'plain', 'RIZIV': 'spaced', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'dd-mm-yyyy', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'masc_ordinal', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'dashed', 'STREET': 'plain', 'AGE': 'bare'}"
CASE000013,F,65-79,southern_european,West-Vlaanderen,Vlaanderen,urban,Rosa Costa,dr. Ana Ferrari,dr. Hilde Dubois,Giuseppe Ferrari,Oom,66-jarige,vrouw,15 april 2026,17 apr 2026,06/03/2018,°29/12/1959,59122981031,51374168003,BE49 5895 4636 0500,4826758692617969,Kortedries 189,8500,Kortrijk,059593174,0473 17 05 04,rosa.costa@proximus.be,https://www.algemeenziekenhuisonzelievevrouw.be,Algemeen Ziekenhuis Onze-Lieve-Vrouw,Oftalmologie,cataract incipiens bilateraal,ziekte van Von Willebrand,teken van Tinel,M. Supraspinatus,Pantomed 40 mg,Pantomed 40 mg,boomstructuur van de bronchi,spO2: 94%,ESWT,watchful waiting,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'plain', 'RIZIV': 'plain', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'text_nl', 'DATE_VALIDATION': 'text_abbr', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'plain', 'TELEFOON_MOBILE': 'spaced', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000014,M,80-95,flemish,Antwerpen,Vlaanderen,town,Dirk De Clercq,dr. Jan Janssens,dr. Serkan Korkmaz,Sofie Coppens,Grootmoeder,91-jarige,man,2026-05-14,15/05/2026,19-02-2017,°30/01/1935,35013000333,3-90743-70-006,BE31 1459 7531 8262,4007661771159211,Wilgenplein 57 bus 17,2500,Lier,058117758,0487 64 28 78,dirk.declercq@skynet.be,https://www.jessaziekenhuis.be,Jessa Ziekenhuis,Fysische Geneeskunde en revalidatie,lumbaal facettair syndroom,syndroom van Raynaud,Barthel-index 90,V. Saphena magna,Ozempic 1 mg,Sipralexa 20 mg,beers-teken afwezig,BD: 146/68,tvv,no evidence of malignancy,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'plain', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'yyyy-mm-dd', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'dd-mm-yyyy', 'DOB': 'degree', 'TELEFOON': 'plain', 'TELEFOON_MOBILE': 'spaced', 'STREET': 'bus', 'AGE': 'jarige'}"
CASE000015,F,18-34,southern_european,Oost-Vlaanderen,Vlaanderen,rural,Carmela Romano,dr. Nele Vermeulen,dr. Leila Bouzid,Antonio Fernandez,Zoon,21-jarige,vrouw,23 mei 2026,2026-05-23,10/2024,°04-07-2004,04.07.04-134.05,68339765003,BE36616592318610,4402445502296125,Abdijdreef 211/18,9400,Ninove,016/27.31.58,+32 498 35 73 28,carmela.romano@telenet.be,https://www.ziekenhuisnikolaas.be,Ziekenhuis Nikolaas,Gastro-enterologie,status na gastric bypass (RYGB),ziekte van Crohn,Glasgow Coma Scale 15,M. Supraspinatus,Sipralexa 20 mg,Depakine chrono 500 mg,lintvormige stoelgang,HR: 68,NSAID,SSp testen positief,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'dotted', 'RIZIV': 'plain', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'text_nl', 'DATE_VALIDATION': 'yyyy-mm-dd', 'DATE_HISTORY': 'm/yyyy', 'DOB': 'degree', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'intl', 'STREET': 'slash', 'AGE': 'jarige'}"
CASE000016,M,35-49,flemish,Antwerpen,Vlaanderen,town,Bart Janssens,dr. Yasmine Alaoui,dr. Tine Wouters,Griet Lambert,Grootmoeder,44-jarige,man,21/05/2026,22-05-2026,27/03/2018,°13/05/1982,82.05.13-047.59,3-31230-25-030,BE75 6613 5815 8184,4605297516136960,Nieuwstraat 105 bus 14,2300,Turnhout,03 885 16 06,0472407354,bart.janssens@telenet.be,https://www.kliniekdevoorzorg.be,Kliniek De Voorzorg,Reumatologie,osteoporose,ziekte van Bechterew,Schirmer-test,N. Medianus,L-thyroxine 50 mcg,Ozempic 1 mg,peervormige galblaas,1/w,co,watchful waiting,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'dd-mm-yyyy', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'plain', 'STREET': 'bus', 'AGE': 'jarige'}"
CASE000017,F,50-64,turkish,Antwerpen,Vlaanderen,town,Merve Celik,dr. Luc Willems,dr. Iwona Marinescu,Onur Ozturk,Oom,64 jaar,vrouw,30/04/2026,30 april 2026,10 jul 2020,°16-12-1961,61.12.16-282.21,7-20148-77-003,BE71555562361507,4203778892554666,Oudelei 237/3,2300,Turnhout,059/07.93.59,+32 474 07 57 13,merve.celik@proximus.be,https://www.ziekenhuisnikolaas.be,Ziekenhuis Nikolaas,Fysische Geneeskunde en revalidatie,subacromiale bursitis,ziekte van Hashimoto,Barthel-index 90,M. Biceps caput longum,Ibuprofen 400 mg,Ibuprofen 400 mg,molaire zwangerschap uitgesloten,1/w,OS,Painful arc beiderzijds +,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'text_nl', 'DATE_HISTORY': 'text_abbr', 'DOB': 'degree', 'TELEFOON': 'slash_dot', 'TELEFOON_MOBILE': 'intl', 'STREET': 'slash', 'AGE': 'jaar'}"
CASE000018,M,35-49,maghrebi,Oost-Vlaanderen,Vlaanderen,town,Karim Bennani,dr. Samira Alaoui,dr. Khadija Bennani,Rachid El Fassi,Vader,39 jaar,man,17-04-2026,2026-04-18,17/08/2016,º06/07/1986,86.07.06-849.50,8-74661-85-004,BE69737214063081,4065379473834739,Bakkerring 186/6,9700,Oudenaarde,028880592,+32 474 20 23 88,karim.bennani@proximus.be,https://www.imeldaziekenhuis.be,Imeldaziekenhuis,Neurologie,perifere polyneuropathie,ziekte van Hashimoto,Barthel-index 90,lig. Collaterale mediale,Pantomed 40 mg,Nexiam 20 mg,as 165 graden,300 ie/ml 1.5 ml,co,full range of motion,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'dotted', 'RIZIV': 'dashed', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'yyyy-mm-dd', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'masc_ordinal', 'TELEFOON': 'plain', 'TELEFOON_MOBILE': 'intl', 'STREET': 'slash', 'AGE': 'jaar'}"
CASE000019,F,65-79,flemish,Vlaams-Brabant,Vlaanderen,town,Lore De Backer,dr. Vasile Nowak,dr. Selin Aydin,Katrien Goossens,Tante,77-jarige,vrouw,06/05/2026,06/05/2026,22 feb 2021,°08/02/1949,49 02 08 242 76,50492458004,BE27246423373551,4036971179808938,Dorpvest 51 bus 8,1700,Dilbeek,+32 (0)56/90.10.43,0490/93.77.67,lore.debacker@skynet.be,https://www.jessaziekenhuis.be,Jessa Ziekenhuis,Cardiologie,boezemfibrilleren,syndroom van Raynaud,Phalen-test,M. Biceps caput longum,Trianal suppo,Progor retard 180 mg,boomstructuur van de bronchi,4.95*,ivm,blurr-test,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'spaced', 'RIZIV': 'plain', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'text_abbr', 'DOB': 'degree', 'TELEFOON': 'intl_paren', 'TELEFOON_MOBILE': 'slash_dot', 'STREET': 'bus', 'AGE': 'jarige'}"
CASE000020,M,18-34,flemish,Oost-Vlaanderen,Vlaanderen,town,Rik Verhoeven,dr. Lore Janssens,dr. Samira El Amrani,Filip Goossens,Vader,29,man,21-04-2026,23/04/2026,09/04/2017,°08/09/1996,96 09 08 347 37,9-53025-97-006,BE79858264962544,4765277584161690,Kouterpark 94 bus 14,9300,Aalst,058 68 74 03,0498 06 83 42,rik.verhoeven@skynet.be,https://www.azonzelievevrouw.be,AZ Onze-Lieve-Vrouw,Gastro-enterologie,diverticulose sigmoid,teken van Lasegue,Schirmer-test,N. Medianus,Glucagen hypokit,D-cure 25 000 ie,molaire zwangerschap uitgesloten,BMI 20.808,OD,SSp testen positief,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'spaced', 'RIZIV': 'dashed', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'dd/mm/yyyy', 'DOB': 'degree', 'TELEFOON': 'spaced', 'TELEFOON_MOBILE': 'spaced', 'STREET': 'bus', 'AGE': 'bare'}"
CASE000021,F,65-79,maghrebi,West-Vlaanderen,Vlaanderen,rural,Fatima Bouzid,dr. Marleen Declercq,dr. Andrzej Novak,Yassine Ouazzani,Neef,67-jarige,vrouw,19-05-2026,21-05-2026,25-03-2018,°17/12/1958,58.12.17 242 65,9-16332-27-018,BE44422462219932,4172715518844227,Molenweg 231,8700,Tielt,+32 3 786 81 44,0476-78 36 88,fatima.bouzid@proximus.be,https://www.azsintjozef.be,AZ Sint-Jozef,Gastro-enterologie,lichte chronische niet specifieke colitis,teken van Lasegue,Goldmann applanatie,m. Infraspinatus,Lambipol 100 mg,Lyumjev kwikpen,boomstructuur van de bronchi,100 e/ml 3 ml,RYGB,SSp testen positief,,False,patient,patiente,mevrouw,zij,haar,"{'INSZ': 'mixed', 'RIZIV': 'dashed', 'IBAN': 'plain', 'DATE_ENCOUNTER': 'dd-mm-yyyy', 'DATE_VALIDATION': 'dd-mm-yyyy', 'DATE_HISTORY': 'dd-mm-yyyy', 'DOB': 'degree', 'TELEFOON': 'intl', 'TELEFOON_MOBILE': 'dashed', 'STREET': 'plain', 'AGE': 'jarige'}"
CASE000022,M,35-49,eastern_european,Vlaams-Brabant,Vlaanderen,town,Andrzej Zielinski,dr. Katrien Mertens,dr. Krzysztof Zielinski,Tomasz Kaminski,Zoon,47-jarige,man,17/05/2026,17/05/2026,12/2020,°04.04.1979,79.04.04 531 66,2-60448-94-008,BE74 1768 0085 5920,4943969078447362,Kasteelbaan 178/3,1930,Zaventem,012829922,0497 77 43 72,andrzej.zielinski@proximus.be,https://www.azrivierenland.be,AZ Rivierenland,NKO,chronische rhinosinusitis,syndroom van Guillain-Barre,Humphrey - perimetrie,M. Biceps caput longum,Toujeo solostar,Pantomed 40 mg,as 165 graden,100 e/ml 3 ml,tvv,blurr-test,,False,patient,patient,de heer,hij,zijn,"{'INSZ': 'mixed', 'RIZIV': 'dashed', 'IBAN': 'grouped', 'DATE_ENCOUNTER': 'dd/mm/yyyy', 'DATE_VALIDATION': 'dd/mm/yyyy', 'DATE_HISTORY': 'm/yyyy', 'DOB': 'degree', 'TELEFOON': 'plain', 'TELEFOON_MOBILE': 'spaced', 'STREET': 'slash', 'AGE': 'jarige'}"
